service,cost,usage,usage_start_time
S3,0.1094,0.4179,2024-04-30 21:00:00
DynamoDB,0.5331,0.7354,2024-04-30 22:00:00
DynamoDB,0.0277,0.0392,2024-04-30 23:00:00
DynamoDB,0.7117,1.0,2024-05-01 00:00:00
DynamoDB,0.5563,0.7206,2024-05-01 01:00:00
DynamoDB,0.3751,0.5438,2024-05-01 02:00:00
S3,0.0032,0.0129,2024-05-01 03:00:00
RDS,1.2241,0.337,2024-05-01 04:00:00
Lambda,0.2961,0.25,2024-05-01 05:00:00
RDS,1.8488,0.5067,2024-05-01 06:00:00
RDS,1.057,0.277,2024-05-01 07:00:00
DynamoDB,0.2511,0.3806,2024-05-01 08:00:00
DynamoDB,0.3449,0.4782,2024-05-01 09:00:00
S3,0.1364,0.5321,2024-05-01 10:00:00
Lambda,0.54,0.4527,2024-05-01 11:00:00
EC2,1.396,0.2794,2024-05-01 12:00:00
RDS,1.8921,0.5369,2024-05-01 13:00:00
EC2,0.6128,0.1191,2024-05-01 14:00:00
Lambda,0.2963,0.2545,2024-05-01 15:00:00
RDS,1.9349,0.5717,2024-05-01 16:00:00
EC2,0.8636,0.2013,2024-05-01 17:00:00
EC2,3.0079,0.6442,2024-05-01 18:00:00
S3,0.2281,1.0,2024-05-01 19:00:00
Lambda,0.3681,0.3157,2024-05-01 20:00:00
Lambda,0.6429,0.5486,2024-05-01 21:00:00
Lambda,0.7104,0.6225,2024-05-01 22:00:00
RDS,0.7329,0.2237,2024-05-01 23:00:00
S3,0.0129,0.0553,2024-05-02 00:00:00
DynamoDB,0.3067,0.4398,2024-05-02 01:00:00
RDS,2.8607,0.7487,2024-05-02 02:00:00
Lambda,0.473,0.433,2024-05-02 03:00:00
RDS,1.3502,0.3867,2024-05-02 04:00:00
EC2,1.7074,0.3686,2024-05-02 05:00:00
RDS,1.3038,0.3693,2024-05-02 06:00:00
RDS,1.3564,0.3729,2024-05-02 07:00:00
Lambda,0.6552,0.5721,2024-05-02 08:00:00
EC2,3.4428,0.7542,2024-05-02 09:00:00
Lambda,0.2158,0.1764,2024-05-02 10:00:00
EC2,1.6412,0.3365,2024-05-02 11:00:00
EC2,0.0989,0.0193,2024-05-02 12:00:00
EC2,2.8169,0.6345,2024-05-02 13:00:00
Lambda,0.2656,0.2042,2024-05-02 14:00:00
EC2,1.6215,0.3525,2024-05-02 15:00:00
S3,0.011,0.0468,2024-05-02 16:00:00
S3,0.113,0.4545,2024-05-02 17:00:00
DynamoDB,0.1465,0.2202,2024-05-02 18:00:00
S3,0.1488,0.5902,2024-05-02 19:00:00
DynamoDB,0.141,0.1858,2024-05-02 20:00:00
S3,0.1285,0.5075,2024-05-02 21:00:00
Lambda,0.5096,0.486,2024-05-02 22:00:00
DynamoDB,0.356,0.4696,2024-05-02 23:00:00
RDS,1.1341,0.3213,2024-05-03 00:00:00
RDS,1.4306,0.4648,2024-05-03 01:00:00
S3,0.1912,0.8343,2024-05-03 02:00:00
RDS,2.1547,0.6011,2024-05-03 03:00:00
S3,0.184,0.7515,2024-05-03 04:00:00
S3,0.1039,0.453,2024-05-03 05:00:00
RDS,2.152,0.6596,2024-05-03 06:00:00
RDS,2.1406,0.6292,2024-05-03 07:00:00
EC2,3.6312,0.7505,2024-05-03 08:00:00
DynamoDB,0.4546,0.6288,2024-05-03 09:00:00
S3,0.0343,0.1495,2024-05-03 10:00:00
RDS,2.3032,0.6345,2024-05-03 11:00:00
DynamoDB,0.5408,0.7362,2024-05-03 12:00:00
RDS,1.06,0.3067,2024-05-03 13:00:00
RDS,1.6573,0.5206,2024-05-03 14:00:00
EC2,4.095,0.8347,2024-05-03 15:00:00
S3,0.1648,0.7454,2024-05-03 16:00:00
S3,0.1998,0.7489,2024-05-03 17:00:00
Lambda,0.2939,0.2358,2024-05-03 18:00:00
EC2,2.2157,0.5002,2024-05-03 19:00:00
DynamoDB,0.4489,0.5986,2024-05-03 20:00:00
EC2,1.9292,0.3798,2024-05-03 21:00:00
DynamoDB,0.111,0.1666,2024-05-03 22:00:00
S3,0.1267,0.5273,2024-05-03 23:00:00
Lambda,0.4453,0.3567,2024-05-04 00:00:00
Lambda,0.7586,0.6062,2024-05-04 01:00:00
S3,0.1175,0.4754,2024-05-04 02:00:00
RDS,1.631,0.4109,2024-05-04 03:00:00
EC2,1.7905,0.3375,2024-05-04 04:00:00
Lambda,0.5665,0.507,2024-05-04 05:00:00
RDS,2.8025,0.7736,2024-05-04 06:00:00
DynamoDB,0.5121,0.6702,2024-05-04 07:00:00
Lambda,0.6609,0.5676,2024-05-04 08:00:00
DynamoDB,0.5005,0.6951,2024-05-04 09:00:00
RDS,2.0468,0.6372,2024-05-04 10:00:00
DynamoDB,0.4108,0.5894,2024-05-04 11:00:00
RDS,3.0835,0.8307,2024-05-04 12:00:00
DynamoDB,0.4041,0.548,2024-05-04 13:00:00
EC2,1.5585,0.3003,2024-05-04 14:00:00
Lambda,1.0991,0.8983,2024-05-04 15:00:00
Lambda,0.9538,0.8181,2024-05-04 16:00:00
RDS,1.2286,0.3406,2024-05-04 17:00:00
DynamoDB,0.4143,0.587,2024-05-04 18:00:00
S3,0.148,0.6076,2024-05-04 19:00:00
Lambda,0.3698,0.3003,2024-05-04 20:00:00
DynamoDB,0.4885,0.6727,2024-05-04 21:00:00
DynamoDB,0.494,0.7305,2024-05-04 22:00:00
EC2,2.6825,0.5936,2024-05-04 23:00:00
S3,0.0644,0.2772,2024-05-05 00:00:00
Lambda,0.3637,0.3116,2024-05-05 01:00:00
EC2,2.2863,0.4572,2024-05-05 02:00:00
S3,0.0963,0.4358,2024-05-05 03:00:00
Lambda,0.8371,0.728,2024-05-05 04:00:00
EC2,2.396,0.4883,2024-05-05 05:00:00
S3,0.1367,0.5399,2024-05-05 06:00:00
Lambda,0.6842,0.5958,2024-05-05 07:00:00
S3,0.2268,0.9357,2024-05-05 08:00:00
DynamoDB,0.3551,0.4705,2024-05-05 09:00:00
RDS,2.0191,0.5499,2024-05-05 10:00:00
RDS,3.5449,0.9984,2024-05-05 11:00:00
DynamoDB,0.3161,0.4364,2024-05-05 12:00:00
S3,0.1585,0.7143,2024-05-05 13:00:00
DynamoDB,0.0747,0.1069,2024-05-05 14:00:00
RDS,0.6103,0.1732,2024-05-05 15:00:00
RDS,2.0655,0.6005,2024-05-05 16:00:00
S3,0.0517,0.2146,2024-05-05 17:00:00
RDS,2.2159,0.6725,2024-05-05 18:00:00
DynamoDB,0.4977,0.664,2024-05-05 19:00:00
S3,0.1759,0.6908,2024-05-05 20:00:00
DynamoDB,0.665,0.9404,2024-05-05 21:00:00
S3,0.1227,0.5219,2024-05-05 22:00:00
RDS,1.9395,0.5004,2024-05-05 23:00:00
Lambda,0.2653,0.231,2024-05-06 00:00:00
S3,0.1956,0.7754,2024-05-06 01:00:00
S3,0.107,0.4274,2024-05-06 02:00:00
Lambda,0.733,0.5682,2024-05-06 03:00:00
RDS,1.9487,0.5149,2024-05-06 04:00:00
DynamoDB,0.7415,1.0,2024-05-06 05:00:00
EC2,2.5358,0.5099,2024-05-06 06:00:00
Lambda,0.5735,0.4269,2024-05-06 07:00:00
EC2,2.5378,0.536,2024-05-06 08:00:00
RDS,1.264,0.3329,2024-05-06 09:00:00
S3,0.1576,0.6734,2024-05-06 10:00:00
S3,0.1365,0.6153,2024-05-06 11:00:00
RDS,1.9769,0.537,2024-05-06 12:00:00
DynamoDB,0.5825,0.8415,2024-05-06 13:00:00
DynamoDB,0.168,0.2443,2024-05-06 14:00:00
RDS,0.8937,0.2327,2024-05-06 15:00:00
RDS,2.9617,0.8097,2024-05-06 16:00:00
RDS,2.6973,0.7443,2024-05-06 17:00:00
RDS,1.7027,0.481,2024-05-06 18:00:00
RDS,1.4545,0.4379,2024-05-06 19:00:00
RDS,1.9862,0.5529,2024-05-06 20:00:00
S3,0.1565,0.6491,2024-05-06 21:00:00
EC2,2.1461,0.4675,2024-05-06 22:00:00
DynamoDB,0.3841,0.5144,2024-05-06 23:00:00
EC2,1.3081,0.2713,2024-05-07 00:00:00
S3,0.1265,0.5466,2024-05-07 01:00:00
Lambda,0.4642,0.3824,2024-05-07 02:00:00
EC2,1.3349,0.2733,2024-05-07 03:00:00
Lambda,0.4056,0.3209,2024-05-07 04:00:00
S3,0.2222,0.9676,2024-05-07 05:00:00
DynamoDB,0.421,0.6068,2024-05-07 06:00:00
Lambda,0.7961,0.7082,2024-05-07 07:00:00
S3,0.1368,0.5961,2024-05-07 08:00:00
RDS,1.5659,0.4586,2024-05-07 09:00:00
DynamoDB,0.4584,0.6645,2024-05-07 10:00:00
RDS,2.1596,0.6104,2024-05-07 11:00:00
DynamoDB,0.3461,0.4771,2024-05-07 12:00:00
DynamoDB,0.2529,0.3476,2024-05-07 13:00:00
EC2,3.7186,0.8061,2024-05-07 14:00:00
DynamoDB,0.5683,0.7344,2024-05-07 15:00:00
EC2,1.4989,0.3368,2024-05-07 16:00:00
Lambda,0.6541,0.5604,2024-05-07 17:00:00
DynamoDB,0.6302,0.8737,2024-05-07 18:00:00
Lambda,0.3841,0.3396,2024-05-07 19:00:00
DynamoDB,0.5022,0.718,2024-05-07 20:00:00
EC2,2.5588,0.5088,2024-05-07 21:00:00
RDS,1.448,0.4031,2024-05-07 22:00:00
DynamoDB,0.3698,0.4967,2024-05-07 23:00:00
S3,0.1467,0.6181,2024-05-08 00:00:00
RDS,1.8115,0.5127,2024-05-08 01:00:00
EC2,0.9941,0.2045,2024-05-08 02:00:00
S3,0.2015,0.8784,2024-05-08 03:00:00
Lambda,0.3964,0.3454,2024-05-08 04:00:00
EC2,3.165,0.6449,2024-05-08 05:00:00
RDS,1.6085,0.4683,2024-05-08 06:00:00
Lambda,0.5735,0.5185,2024-05-08 07:00:00
Lambda,0.6621,0.5287,2024-05-08 08:00:00
EC2,1.107,0.2498,2024-05-08 09:00:00
RDS,2.8474,0.8159,2024-05-08 10:00:00
EC2,3.4636,0.7272,2024-05-08 11:00:00
S3,0.1147,0.4676,2024-05-08 12:00:00
S3,0.0781,0.3232,2024-05-08 13:00:00
DynamoDB,0.2849,0.4237,2024-05-08 14:00:00
Lambda,0.672,0.5675,2024-05-08 15:00:00
DynamoDB,0.317,0.4686,2024-05-08 16:00:00
RDS,3.0749,0.8183,2024-05-08 17:00:00
S3,0.1637,0.6928,2024-05-08 18:00:00
DynamoDB,0.1218,0.1542,2024-05-08 19:00:00
S3,0.1127,0.4878,2024-05-08 20:00:00
S3,0.1482,0.5834,2024-05-08 21:00:00
S3,0.1265,0.4954,2024-05-08 22:00:00
EC2,3.2546,0.7166,2024-05-08 23:00:00
DynamoDB,0.2756,0.3652,2024-05-09 00:00:00
Lambda,0.0,0.0,2024-05-09 01:00:00
DynamoDB,0.1503,0.2138,2024-05-09 02:00:00
Lambda,0.5188,0.4402,2024-05-09 03:00:00
DynamoDB,0.2651,0.3895,2024-05-09 04:00:00
DynamoDB,0.7545,0.9584,2024-05-09 05:00:00
S3,0.0693,0.2676,2024-05-09 06:00:00
Lambda,0.5074,0.4201,2024-05-09 07:00:00
Lambda,0.5655,0.4873,2024-05-09 08:00:00
Lambda,0.8414,0.6968,2024-05-09 09:00:00
DynamoDB,0.2724,0.4047,2024-05-09 10:00:00
Lambda,0.3539,0.3213,2024-05-09 11:00:00
DynamoDB,0.3401,0.5024,2024-05-09 12:00:00
EC2,2.292,0.4469,2024-05-09 13:00:00
S3,0.1773,0.7399,2024-05-09 14:00:00
RDS,1.9006,0.4826,2024-05-09 15:00:00
EC2,2.8524,0.6042,2024-05-09 16:00:00
Lambda,0.2628,0.2148,2024-05-09 17:00:00
S3,0.1548,0.6659,2024-05-09 18:00:00
S3,0.1315,0.5582,2024-05-09 19:00:00
S3,0.0973,0.4632,2024-05-09 20:00:00
S3,0.1147,0.4556,2024-05-09 21:00:00
Lambda,0.4496,0.3737,2024-05-09 22:00:00
S3,0.0852,0.3488,2024-05-09 23:00:00
RDS,1.5669,0.4567,2024-05-10 00:00:00
RDS,2.8876,0.7665,2024-05-10 01:00:00
S3,0.0932,0.379,2024-05-10 02:00:00
DynamoDB,0.4514,0.6075,2024-05-10 03:00:00
Lambda,0.2031,0.1611,2024-05-10 04:00:00
RDS,1.365,0.3861,2024-05-10 05:00:00
RDS,3.6543,1.0,2024-05-10 06:00:00
RDS,1.354,0.4227,2024-05-10 07:00:00
EC2,3.483,0.778,2024-05-10 08:00:00
EC2,1.4129,0.2993,2024-05-10 09:00:00
RDS,2.9288,0.7833,2024-05-10 10:00:00
DynamoDB,0.3425,0.4684,2024-05-10 11:00:00
Lambda,0.4591,0.3799,2024-05-10 12:00:00
Lambda,0.6475,0.5147,2024-05-10 13:00:00
RDS,2.558,0.6934,2024-05-10 14:00:00
RDS,1.5962,0.4275,2024-05-10 15:00:00
Lambda,0.5467,0.4816,2024-05-10 16:00:00
DynamoDB,0.3032,0.4193,2024-05-10 17:00:00
EC2,3.2438,0.682,2024-05-10 18:00:00
EC2,1.2427,0.2582,2024-05-10 19:00:00
RDS,1.8992,0.5227,2024-05-10 20:00:00
Lambda,0.8626,0.684,2024-05-10 21:00:00
EC2,1.7732,0.3812,2024-05-10 22:00:00
DynamoDB,0.2176,0.292,2024-05-10 23:00:00
RDS,2.7984,0.7898,2024-05-11 00:00:00
S3,0.1164,0.4517,2024-05-11 01:00:00
RDS,2.2112,0.6011,2024-05-11 02:00:00
S3,0.065,0.2618,2024-05-11 03:00:00
RDS,1.0669,0.3142,2024-05-11 04:00:00
Lambda,0.5016,0.4306,2024-05-11 05:00:00
Lambda,0.5074,0.4557,2024-05-11 06:00:00
Lambda,0.8769,0.6918,2024-05-11 07:00:00
Lambda,0.1391,0.1105,2024-05-11 08:00:00
DynamoDB,0.2537,0.3379,2024-05-11 09:00:00
DynamoDB,0.3506,0.4863,2024-05-11 10:00:00
S3,0.1178,0.463,2024-05-11 11:00:00
DynamoDB,0.187,0.2521,2024-05-11 12:00:00
RDS,2.6858,0.7203,2024-05-11 13:00:00
Lambda,1.1273,0.9649,2024-05-11 14:00:00
EC2,3.3014,0.6915,2024-05-11 15:00:00
EC2,3.5827,0.7467,2024-05-11 16:00:00
EC2,2.1601,0.4224,2024-05-11 17:00:00
RDS,1.3439,0.4017,2024-05-11 18:00:00
EC2,1.9628,0.3966,2024-05-11 19:00:00
EC2,3.7571,0.7784,2024-05-11 20:00:00
S3,0.1708,0.7636,2024-05-11 21:00:00
RDS,1.4595,0.4113,2024-05-11 22:00:00
RDS,1.7247,0.4771,2024-05-11 23:00:00
EC2,2.9951,0.6382,2024-05-12 00:00:00
RDS,1.8958,0.5278,2024-05-12 01:00:00
S3,0.0751,0.3148,2024-05-12 02:00:00
S3,0.1122,0.4713,2024-05-12 03:00:00
Lambda,0.6099,0.5064,2024-05-12 04:00:00
S3,0.1056,0.4135,2024-05-12 05:00:00
Lambda,0.3078,0.2661,2024-05-12 06:00:00
EC2,4.5509,1.0,2024-05-12 07:00:00
Lambda,0.2852,0.2292,2024-05-12 08:00:00
Lambda,0.1003,0.0846,2024-05-12 09:00:00
EC2,4.1155,0.9292,2024-05-12 10:00:00
Lambda,0.115,0.1036,2024-05-12 11:00:00
S3,0.1723,0.6797,2024-05-12 12:00:00
EC2,1.9731,0.3975,2024-05-12 13:00:00
RDS,3.0513,0.7781,2024-05-12 14:00:00
Lambda,0.4786,0.4507,2024-05-12 15:00:00
S3,0.0789,0.3358,2024-05-12 16:00:00
RDS,1.5984,0.4482,2024-05-12 17:00:00
EC2,3.6955,0.7238,2024-05-12 18:00:00
EC2,2.358,0.4657,2024-05-12 19:00:00
EC2,2.7522,0.5715,2024-05-12 20:00:00
S3,0.1641,0.6813,2024-05-12 21:00:00
RDS,3.0456,0.9116,2024-05-12 22:00:00
EC2,1.8934,0.397,2024-05-12 23:00:00
S3,0.15,0.5879,2024-05-13 00:00:00
DynamoDB,0.3311,0.4951,2024-05-13 01:00:00
S3,0.1665,0.6685,2024-05-13 02:00:00
DynamoDB,0.0804,0.1116,2024-05-13 03:00:00
RDS,0.6333,0.182,2024-05-13 04:00:00
EC2,1.5953,0.3194,2024-05-13 05:00:00
EC2,2.3507,0.5234,2024-05-13 06:00:00
Lambda,0.7531,0.676,2024-05-13 07:00:00
EC2,2.6063,0.566,2024-05-13 08:00:00
RDS,1.5755,0.4269,2024-05-13 09:00:00
S3,0.1547,0.6043,2024-05-13 10:00:00
RDS,1.7675,0.4835,2024-05-13 11:00:00
EC2,1.9978,0.4125,2024-05-13 12:00:00
S3,0.1404,0.5879,2024-05-13 13:00:00
RDS,0.5096,0.1392,2024-05-13 14:00:00
EC2,2.6565,0.5729,2024-05-13 15:00:00
EC2,1.2531,0.2431,2024-05-13 16:00:00
EC2,2.8389,0.5983,2024-05-13 17:00:00
Lambda,0.3137,0.2726,2024-05-13 18:00:00
Lambda,0.9189,0.7605,2024-05-13 19:00:00
Lambda,0.4798,0.3899,2024-05-13 20:00:00
S3,0.087,0.3371,2024-05-13 21:00:00
RDS,2.7093,0.7706,2024-05-13 22:00:00
S3,0.0781,0.3743,2024-05-13 23:00:00
S3,0.0456,0.2037,2024-05-14 00:00:00
EC2,2.4885,0.527,2024-05-14 01:00:00
DynamoDB,0.1639,0.2309,2024-05-14 02:00:00
DynamoDB,0.4442,0.6011,2024-05-14 03:00:00
EC2,0.5726,0.1201,2024-05-14 04:00:00
DynamoDB,0.168,0.2233,2024-05-14 05:00:00
S3,0.1506,0.6568,2024-05-14 06:00:00
RDS,1.2197,0.3468,2024-05-14 07:00:00
Lambda,0.0603,0.0494,2024-05-14 08:00:00
S3,0.1121,0.4454,2024-05-14 09:00:00
S3,0.0652,0.2803,2024-05-14 10:00:00
RDS,0.6794,0.1987,2024-05-14 11:00:00
DynamoDB,0.1992,0.2636,2024-05-14 12:00:00
RDS,1.3053,0.3603,2024-05-14 13:00:00
S3,0.0953,0.4238,2024-05-14 14:00:00
EC2,2.3055,0.4663,2024-05-14 15:00:00
EC2,1.2907,0.2584,2024-05-14 16:00:00
S3,0.0773,0.3301,2024-05-14 17:00:00
EC2,2.8129,0.6061,2024-05-14 18:00:00
DynamoDB,0.3597,0.5075,2024-05-14 19:00:00
RDS,1.6678,0.5259,2024-05-14 20:00:00
Lambda,0.1658,0.1341,2024-05-14 21:00:00
RDS,2.4308,0.7074,2024-05-14 22:00:00
Lambda,0.5494,0.4512,2024-05-14 23:00:00
S3,0.1377,0.6386,2024-05-15 00:00:00
S3,0.0762,0.3228,2024-05-15 01:00:00
Lambda,0.8648,0.6406,2024-05-15 02:00:00
EC2,2.0277,0.4544,2024-05-15 03:00:00
S3,0.1485,0.5805,2024-05-15 04:00:00
DynamoDB,0.3585,0.5216,2024-05-15 05:00:00
DynamoDB,0.5145,0.6916,2024-05-15 06:00:00
DynamoDB,0.2163,0.2948,2024-05-15 07:00:00
DynamoDB,0.5334,0.6995,2024-05-15 08:00:00
Lambda,0.5736,0.4867,2024-05-15 09:00:00
EC2,3.3617,0.7455,2024-05-15 10:00:00
Lambda,0.6569,0.5877,2024-05-15 11:00:00
S3,0.1689,0.7131,2024-05-15 12:00:00
DynamoDB,0.556,0.7537,2024-05-15 13:00:00
DynamoDB,0.197,0.2554,2024-05-15 14:00:00
DynamoDB,0.6091,0.8102,2024-05-15 15:00:00
S3,0.0822,0.3477,2024-05-15 16:00:00
RDS,1.8377,0.5291,2024-05-15 17:00:00
Lambda,1.0134,0.8385,2024-05-15 18:00:00
EC2,0.0,0.0,2024-05-15 19:00:00
S3,0.1029,0.4304,2024-05-15 20:00:00
RDS,1.5965,0.4263,2024-05-15 21:00:00
RDS,2.6431,0.7239,2024-05-15 22:00:00
EC2,2.07,0.4321,2024-05-15 23:00:00
S3,0.1161,0.5039,2024-05-16 00:00:00
RDS,2.2678,0.6158,2024-05-16 01:00:00
DynamoDB,0.6183,0.8081,2024-05-16 02:00:00
EC2,1.8132,0.3629,2024-05-16 03:00:00
DynamoDB,0.2308,0.3098,2024-05-16 04:00:00
EC2,1.8066,0.3967,2024-05-16 05:00:00
Lambda,0.578,0.556,2024-05-16 06:00:00
Lambda,0.1782,0.1498,2024-05-16 07:00:00
S3,0.1217,0.5165,2024-05-16 08:00:00
RDS,0.6357,0.1841,2024-05-16 09:00:00
DynamoDB,0.4284,0.5782,2024-05-16 10:00:00
RDS,1.8918,0.4968,2024-05-16 11:00:00
Lambda,0.6694,0.5795,2024-05-16 12:00:00
DynamoDB,0.2972,0.4439,2024-05-16 13:00:00
S3,0.1212,0.4784,2024-05-16 14:00:00
RDS,2.4542,0.6371,2024-05-16 15:00:00
EC2,2.2512,0.4394,2024-05-16 16:00:00
EC2,2.3774,0.4613,2024-05-16 17:00:00
DynamoDB,0.3695,0.4956,2024-05-16 18:00:00
EC2,3.7792,0.795,2024-05-16 19:00:00
EC2,2.7778,0.5437,2024-05-16 20:00:00
Lambda,0.5306,0.4734,2024-05-16 21:00:00
S3,0.2176,0.9286,2024-05-16 22:00:00
EC2,2.6999,0.5318,2024-05-16 23:00:00
EC2,1.7243,0.3783,2024-05-17 00:00:00
RDS,1.8049,0.5507,2024-05-17 01:00:00
DynamoDB,0.3224,0.4424,2024-05-17 02:00:00
Lambda,0.4939,0.446,2024-05-17 03:00:00
DynamoDB,0.5926,0.8188,2024-05-17 04:00:00
RDS,2.7936,0.7862,2024-05-17 05:00:00
RDS,1.1821,0.324,2024-05-17 06:00:00
RDS,1.5478,0.4568,2024-05-17 07:00:00
EC2,3.6924,0.794,2024-05-17 08:00:00
DynamoDB,0.1013,0.1319,2024-05-17 09:00:00
DynamoDB,0.2786,0.3991,2024-05-17 10:00:00
DynamoDB,0.115,0.1469,2024-05-17 11:00:00
S3,0.0583,0.2421,2024-05-17 12:00:00
Lambda,0.8363,0.6825,2024-05-17 13:00:00
EC2,2.1434,0.4881,2024-05-17 14:00:00
Lambda,0.4095,0.3381,2024-05-17 15:00:00
EC2,1.661,0.3426,2024-05-17 16:00:00
DynamoDB,0.4802,0.6363,2024-05-17 17:00:00
S3,0.0679,0.2548,2024-05-17 18:00:00
S3,0.1568,0.6535,2024-05-17 19:00:00
DynamoDB,0.578,0.7179,2024-05-17 20:00:00
Lambda,0.2518,0.2123,2024-05-17 21:00:00
RDS,0.0884,0.0243,2024-05-17 22:00:00
DynamoDB,0.4118,0.5731,2024-05-17 23:00:00
EC2,1.5901,0.3691,2024-05-18 00:00:00
Lambda,0.7398,0.5747,2024-05-18 01:00:00
RDS,1.4047,0.3818,2024-05-18 02:00:00
S3,0.0458,0.1864,2024-05-18 03:00:00
EC2,1.9453,0.4213,2024-05-18 04:00:00
S3,0.0819,0.3479,2024-05-18 05:00:00
EC2,2.5856,0.5765,2024-05-18 06:00:00
RDS,1.5109,0.4206,2024-05-18 07:00:00
EC2,1.4657,0.2802,2024-05-18 08:00:00
RDS,1.1458,0.3293,2024-05-18 09:00:00
DynamoDB,0.2388,0.3043,2024-05-18 10:00:00
DynamoDB,0.419,0.6106,2024-05-18 11:00:00
EC2,3.4967,0.7212,2024-05-18 12:00:00
Lambda,0.6503,0.5515,2024-05-18 13:00:00
S3,0.0854,0.3501,2024-05-18 14:00:00
EC2,2.0472,0.391,2024-05-18 15:00:00
EC2,1.2722,0.2461,2024-05-18 16:00:00
S3,0.1164,0.4777,2024-05-18 17:00:00
EC2,3.099,0.6666,2024-05-18 18:00:00
S3,0.1396,0.6728,2024-05-18 19:00:00
RDS,1.2224,0.356,2024-05-18 20:00:00
Lambda,0.2959,0.2493,2024-05-18 21:00:00
DynamoDB,0.4301,0.5771,2024-05-18 22:00:00
DynamoDB,0.3815,0.5482,2024-05-18 23:00:00
Lambda,0.6928,0.5738,2024-05-19 00:00:00
S3,0.1713,0.6872,2024-05-19 01:00:00
Lambda,0.5801,0.5061,2024-05-19 02:00:00
S3,0.0862,0.3694,2024-05-19 03:00:00
Lambda,0.5314,0.4369,2024-05-19 04:00:00
EC2,3.0787,0.643,2024-05-19 05:00:00
EC2,2.4328,0.5032,2024-05-19 06:00:00
Lambda,0.4541,0.3968,2024-05-19 07:00:00
RDS,0.5175,0.1489,2024-05-19 08:00:00
Lambda,0.6885,0.5946,2024-05-19 09:00:00
DynamoDB,0.3334,0.4524,2024-05-19 10:00:00
EC2,2.7433,0.6041,2024-05-19 11:00:00
Lambda,0.8866,0.6994,2024-05-19 12:00:00
DynamoDB,0.1892,0.274,2024-05-19 13:00:00
EC2,3.5174,0.7382,2024-05-19 14:00:00
RDS,0.1876,0.056,2024-05-19 15:00:00
RDS,1.5262,0.4501,2024-05-19 16:00:00
DynamoDB,0.301,0.4173,2024-05-19 17:00:00
Lambda,0.9371,0.7925,2024-05-19 18:00:00
EC2,3.6746,0.7145,2024-05-19 19:00:00
RDS,2.873,0.7869,2024-05-19 20:00:00
DynamoDB,0.0791,0.1073,2024-05-19 21:00:00
S3,0.1696,0.7097,2024-05-19 22:00:00
Lambda,1.0625,0.8489,2024-05-19 23:00:00
S3,0.1553,0.6137,2024-05-20 00:00:00
Lambda,0.5953,0.5667,2024-05-20 01:00:00
EC2,2.0358,0.4002,2024-05-20 02:00:00
DynamoDB,0.241,0.3385,2024-05-20 03:00:00
EC2,1.5216,0.291,2024-05-20 04:00:00
S3,0.1918,0.8363,2024-05-20 05:00:00
DynamoDB,0.3682,0.5295,2024-05-20 06:00:00
EC2,3.0666,0.623,2024-05-20 07:00:00
EC2,3.232,0.6623,2024-05-20 08:00:00
EC2,4.5533,1.0,2024-05-20 09:00:00
S3,0.0371,0.1579,2024-05-20 10:00:00
EC2,0.828,0.1864,2024-05-20 11:00:00
RDS,1.0293,0.2997,2024-05-20 12:00:00
Lambda,0.3805,0.3091,2024-05-20 13:00:00
RDS,1.4227,0.3988,2024-05-20 14:00:00
S3,0.1567,0.6788,2024-05-20 15:00:00
S3,0.1093,0.4471,2024-05-20 16:00:00
EC2,0.4722,0.1117,2024-05-20 17:00:00
DynamoDB,0.4199,0.5692,2024-05-20 18:00:00
RDS,3.3122,0.9128,2024-05-20 19:00:00
S3,0.1578,0.6639,2024-05-20 20:00:00
Lambda,0.7273,0.5594,2024-05-20 21:00:00
S3,0.0184,0.0752,2024-05-20 22:00:00
RDS,3.3847,0.9271,2024-05-20 23:00:00
Lambda,0.9648,0.8301,2024-05-21 00:00:00
Lambda,0.5933,0.4936,2024-05-21 01:00:00
EC2,0.2553,0.0565,2024-05-21 02:00:00
DynamoDB,0.2104,0.2806,2024-05-21 03:00:00
Lambda,0.8224,0.6744,2024-05-21 04:00:00
EC2,3.1649,0.6648,2024-05-21 05:00:00
DynamoDB,0.5333,0.7404,2024-05-21 06:00:00
EC2,2.4229,0.5116,2024-05-21 07:00:00
S3,0.1496,0.6369,2024-05-21 08:00:00
S3,0.1574,0.6953,2024-05-21 09:00:00
DynamoDB,0.2087,0.2802,2024-05-21 10:00:00
EC2,2.2625,0.4823,2024-05-21 11:00:00
RDS,2.3667,0.678,2024-05-21 12:00:00
EC2,2.3623,0.46,2024-05-21 13:00:00
RDS,3.1368,0.8078,2024-05-21 14:00:00
Lambda,0.565,0.4436,2024-05-21 15:00:00
Lambda,0.3554,0.3102,2024-05-21 16:00:00
Lambda,0.0389,0.0299,2024-05-21 17:00:00
EC2,1.5606,0.3272,2024-05-21 18:00:00
DynamoDB,0.2369,0.3179,2024-05-21 19:00:00
RDS,1.4298,0.4249,2024-05-21 20:00:00
EC2,2.6216,0.5883,2024-05-21 21:00:00
Lambda,0.357,0.3325,2024-05-21 22:00:00
S3,0.0521,0.2152,2024-05-21 23:00:00
Lambda,0.119,0.1071,2024-05-22 00:00:00
DynamoDB,0.3499,0.4995,2024-05-22 01:00:00
Lambda,1.1769,0.8984,2024-05-22 02:00:00
DynamoDB,0.2416,0.3264,2024-05-22 03:00:00
